NETWORK_SPD_LOWER_THAN_2000,NETWORK_SQI_VOICE,SURVEY_CITY_SIZE,PRODUCT_GROUP_TARIFF,NETWORK_4G_SHARE,SNAP_DATE_DAY,PROFILE_DEVICE_OS,FILIAL_ID,NETWORK_VOWIFI,SURVEY_ARPU_GROUP,PRODUCT_TARIFF_CHANGE,NETWORK_DURATION_2G,NPS,SURVEY_AGE_GROUP,NETWORK_VOLTE,PRODUCT_EVA_TYPE,PROFILE_KINOPOISK,SURVEY_GENDER,NETWORK_OVERLOAD,NETWORK_DURATION_4G,SURVEY_OPERATOR_AGE_GROUP,PROFILE_DEVICE_PRICE,NETWORK_SPEED_LTE,NETWORK_SQI_DATA,PRODUCT_NAME_LINE_TP,REGION_FILIAL,PROFILE_DEVICE_TYPE,PRODUCT_PEREPLATY,NETWORK_PROSTOI
20...80%,>99.5%,Малый,Включайся!,c. 80-90%,2024-02-23,Android,15.0,Нет,Низкий,Прочее,Прочее,-0.3281092098241826,55+,Более 80%,Ева+,Более 1GB,Муж,Более 15 дней,Прочее,55+,Нет данных,>10 Mbps,98...99.5%,CVM,Северо-Западный филиал,NETWORK DEVICE,До 40 руб,Риск простоя
20...80%,>99.5%,Большой,Сэмплинг,c. 80-90%,2024-12-03,Прочее,11.0,Нет,Средний,91-180 дней,Прочее,-0.6282719698406528,55+,До 80%,Ева Volte,100MB - 1GB,Жен,Более 15 дней,Более 80%,55+,10-25 тыс. руб.,<2 Mbps,>99.5%,Тёплый приём - линейка 4.0,Уральский филиал,NETWORK DEVICE,Более 40 руб,Нет простоя
Более 80%,Прочее,Малый,ПД,d. >90%,2024-07-14,iOS,11.0,Нет,Низкий,31-90 дней,Менее 5%,-0.02797903577874727,55+,Не VoLTE,Ева+,До 100MB,Не определен,До 15 дней,Прочее,35-44,Более 50 тыс. руб,Прочее,<98%,Тёплый приём - линейка 5.0,Уральский филиал,NETWORK DEVICE,Более 40 руб,1-5 часов
Прочее,98..99.5%,Большой,Прочие,d. >90%,2024-07-09,Android,12.0,Нет,Средний,181-366 дней,Прочее,0.021559278810487015,35-44,Более 80%,Ева+,Более 1GB,Не определен,Нет,Прочее,55+,Нет данных,>10 Mbps,Прочее,ВВ - 05.17 (XS/L/XL/VIP),Дальневосточный филиал,TABLET,Нет переплат,1-5 часов
20...80%,>99.5%,Малый,Агентский конвергент,d. >90%,2023-10-22,Android,19.0,Нет,Высокий,До 30 дней,Прочее,0.05964652264585419,55+,До 80%,Ева+,100MB - 1GB,Муж,Более 15 дней,Прочее,55+,25-50 тыс. руб.,5...10 Mbps,Прочее,Моноинтернет от МегаФона,Центральный филиал,UNDEFINED,До 40 руб,Нет простоя
Более 80%,<98%,Малый,ПД,a. <100 MB,2023-01-07,Android,17.0,Нет,Средний,До 30 дней,Прочее,0.23669502462783443,55,Не VoLTE,Ева Volte,Нет,Муж,До 15 дней,Менее 80%,55+,Более 50 тыс. руб,Прочее,98...99.5%,Включайся! - Линейка 3.3 - Прочие ТП,Дальневосточный филиал,PHONE,До 40 руб,1-5 часов
Более 80%,>99.5%,Малый,Включайся!,a. <100 MB,2024-03-15,iOS,6.0,Нет,Низкий,181-366 дней,5...20%,0.2900100539302697,35-44,Не VoLTE,Ева+,Нет,Не определен,До 15 дней,Прочее,55+,25-50 тыс. руб.,>10 Mbps,<98%,Включайся! - Линейка 2.1,Кавказский филиал,SMART WATCH,Более 40 руб,Риск простоя
20...80%,>99.5%,Большой,Без переплат,c. 80-90%,2024-11-03,iOS,8.0,Есть,Высокий,181-366 дней,Прочее,-0.44526205148027925,18-24,Не VoLTE,Ева+,До 100MB,Жен,До 15 дней,Более 80%,45-54,До 10 тыс. руб.,<2 Mbps,<98%,Без переплат - Линейка 1.5,Центральный филиал,SMARTPHONE,До 40 руб,Более 24 часов
Прочее,Прочее,Средний,Включайся!,b. <80%,2024-07-29,iOS,15.0,Нет,Высокий,91-180 дней,Прочее,0.8227414250590367,35-44,Не VoLTE,Ева+,100MB - 1GB,Не определен,Более 15 дней,Более 80%,18-24,Более 50 тыс. руб,>10 Mbps,Прочее,Включайся! - Линейка 3.4 - Прочие ТП,Поволжский филиал,ROUTER,Более 40 руб,Риск простоя
Менее 20%,>99.5%,Средний,СНГ,a. <100 MB,2023-08-11,Android,10.0,Есть,Средний,31-90 дней,5...20%,-0.13506191377813603,18-24,До 80%,Ева МЛК,Более 1GB,Не определен,Более 15 дней,Прочее,18-24,Нет данных,2...5 Mbps,>99.5%,Линейка 'Безлимит 1.0',Сибирский филиал,SMARTPHONE,Нет переплат,5-24 часа
Прочее,Прочее,Малый,Агентский конвергент,a. <100 MB,2023-12-30,Android,15.0,Есть,Средний,Более 366 дней,Более 20%,-0.025806131408625078,55+,Не VoLTE,Ева+,До 100MB,nan,До 15 дней,Прочее,55+,Нет данных,2...5 Mbps,Прочее,CVM - 28 дней,Кавказский филиал,LAPTOP,До 40 руб,Риск простоя
Более 80%,Прочее,Большой,Все включено,b. <80%,2023-07-03,Прочее,12.0,Есть,Высокий,Более 366 дней,Более 20%,0.08964131459864087,55+,До 80%,Ева+,100MB - 1GB,Не определен,Более 15 дней,Прочее,55+,25-50 тыс. руб.,2...5 Mbps,<98%,Включайся! - Линейка 2.2,Уральский филиал,SMARTPHONE,До 40 руб,5-24 часа
Прочее,98..99.5%,Большой,Сэмплинг,d. >90%,2023-08-24,iOS,11.0,Нет,Низкий,Прочее,Прочее,0.26818614270430796,55+,Не VoLTE,Ева+,До 100MB,Жен,До 15 дней,Менее 80%,45-54,Более 50 тыс. руб,2...5 Mbps,Прочее,PAYGO линейка 2018,Северо-Западный филиал,ROUTER,Нет переплат,1-5 часов
20...80%,98..99.5%,Большой,Без переплат,d. >90%,2023-03-24,Android,18.0,Нет,Средний,31-90 дней,Менее 5%,-0.002119837592287545,35-44,Более 80%,Ева Volte,100MB - 1GB,Не определен,Более 15 дней,Прочее,45-54,Нет данных,<2 Mbps,98...99.5%,Переходи на НОЛЬ 2020,Поволжский филиал,SMART WATCH,Нет переплат,Нет простоя
Более 80%,>99.5%,Средний,СНГ,a. <100 MB,2024-04-01,iOS,5.0,Есть,Низкий,Прочее,Прочее,-0.09634247328012513,55+,Более 80%,Ева+,Более 1GB,Жен,Более 15 дней,Прочее,18-24,25-50 тыс. руб.,Прочее,>99.5%,Тёплый приём - линейка 4.0,Поволжский филиал,NETWORK DEVICE,Более 40 руб,Риск простоя
Менее 20%,Прочее,Малый,Включайся!,c. 80-90%,2024-03-31,Android,12.0,Есть,Низкий,91-180 дней,5...20%,0.008021773377977008,35-44,Не VoLTE,Ева Volte,Более 1GB,Муж,До 15 дней,Прочее,55+,Нет данных,5...10 Mbps,98...99.5%,Управляй 2.0,Центральный филиал,PHONE,Более 40 руб,5-24 часа
Прочее,Прочее,Малый,Внутрисетевые,c. 80-90%,2023-03-12,Прочее,5.0,Нет,Низкий,До 30 дней,Более 20%,-0.31915770820021416,45-54,До 80%,Ева Volte,До 100MB,Муж,До 15 дней,Менее 80%,25-34,До 10 тыс. руб.,>10 Mbps,Прочее,Без переплат - Линейка 1.5,Сибирский филиал,TABLET,Нет переплат,Риск простоя
Более 80%,<98%,Большой,СНГ,c. 80-90%,2024-09-21,Прочее,10.0,Есть,Низкий,181-366 дней,Менее 5%,-1.0,55+,Не VoLTE,Ева Volte,Более 1GB,Жен,Нет,Прочее,45-54,Более 50 тыс. руб,>10 Mbps,Прочее,Тёплый приём - линейка 2.0,Поволжский филиал,TABLET,До 40 руб,Нет простоя
20...80%,Прочее,Малый,СНГ,b. <80%,2023-10-29,Прочее,14.0,Есть,Высокий,Прочее,Менее 5%,-0.31297637057617994,55+,Не VoLTE,Ева Volte,100MB - 1GB,Муж,До 15 дней,Менее 80%,18-24,25-50 тыс. руб.,<2 Mbps,<98%,Без переплат - Линейка 1.0,Уральский филиал,LAPTOP,До 40 руб,Нет простоя
20...80%,<98%,Малый,Все мобильные,d. >90%,2023-12-06,Прочее,16.0,Есть,Низкий,91-180 дней,Менее 5%,0.17348460053988307,55+,Более 80%,Ева Volte,Нет,Муж,До 15 дней,Менее 80%,55+,До 10 тыс. руб.,<2 Mbps,98...99.5%,YOTA_Готовый тариф,Столичный филиал,SMART WATCH,Более 40 руб,1-5 часов
Прочее,>99.5%,Средний,Сэмплинг,d. >90%,2023-01-30,Android,5.0,Есть,Средний,До 30 дней,Прочее,-0.12865433194522655,55+,До 80%,Ева+,До 100MB,Жен,Более 15 дней,Более 80%,18-24,Более 50 тыс. руб,Прочее,Прочее,Включайся! - Линейка 1,Дальневосточный филиал,SMARTPHONE,Более 40 руб,5-24 часа
Прочее,98..99.5%,Средний,Все мобильные,a. <100 MB,2023-09-06,Android,11.0,Есть,Низкий,91-180 дней,Прочее,-0.33276902236283906,55+,Более 80%,Ева Volte,До 100MB,Не определен,Нет,Прочее,25-34,Нет данных,5...10 Mbps,98...99.5%,Без переплат - Линейка 1.4,Уральский филиал,SMART WATCH,До 40 руб,Более 24 часов
Менее 20%,>99.5%,Малый,СНГ,d. >90%,2024-08-28,Прочее,19.0,Есть,Низкий,91-180 дней,Менее 5%,-0.0,45-54,До 80%,Ева+,100MB - 1GB,Жен,Более 15 дней,Более 80%,55+,До 10 тыс. руб.,<2 Mbps,<98%,Включайся! - Линейка 3.4.1 - Прочие ТП,Уральский филиал,USB MODEM,Нет переплат,5-24 часа
Более 80%,>99.5%,Большой,Внутрисетевые,c. 80-90%,2024-05-04,iOS,8.0,Есть,Высокий,181-366 дней,Прочее,0.1260187375737656,55+,До 80%,Ева МЛК,До 100MB,Жен,Нет,Прочее,35-44,10-25 тыс. руб.,Прочее,>99.5%,B2B пакеты Lego,Столичный филиал,ROUTER,Более 40 руб,5-24 часа
Более 80%,<98%,Малый,СНГ,b. <80%,2023-04-18,Android,19.0,Есть,Средний,91-180 дней,Прочее,0.08537151903585449,18-24,До 80%,Ева МЛК,До 100MB,Муж,Более 15 дней,Менее 80%,55+,10-25 тыс. руб.,Прочее,98...99.5%,Тёплый приём - линейка 5.0,Столичный филиал,SMART WATCH,До 40 руб,5-24 часа
Более 80%,>99.5%,Большой,Включайся!,c. 80-90%,2023-10-29,Android,18.0,Есть,Высокий,31-90 дней,Более 20%,0.6423045632029284,35-44,До 80%,Ева Volte,100MB - 1GB,Муж,Более 15 дней,Прочее,25-34,Более 50 тыс. руб,Прочее,>99.5%,Включайся! - Линейка 3.4.3 - Прочие ТП,Северо-Западный филиал,UNDEFINED,Более 40 руб,5-24 часа
Более 80%,Прочее,Малый,Сэмплинг,c. 80-90%,2024-03-09,iOS,12.0,Нет,Средний,91-180 дней,Более 20%,0.17276453672549727,55+,Не VoLTE,Ева МЛК,До 100MB,Не определен,До 15 дней,Прочее,45-54,Более 50 тыс. руб,<2 Mbps,>99.5%,Переходи на НОЛЬ 2020,Столичный филиал,SMARTPHONE,До 40 руб,Более 24 часов
20...80%,>99.5%,Малый,Все мобильные,c. 80-90%,2024-03-26,Android,13.0,Есть,Средний,Более 366 дней,Менее 5%,0.1962975955152161,55+,Не VoLTE,Ева МЛК,100MB - 1GB,Не определен,До 15 дней,Менее 80%,35-44,25-50 тыс. руб.,Прочее,Прочее,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Кавказский филиал,TABLET,До 40 руб,1-5 часов
Менее 20%,>99.5%,Малый,Сэмплинг,d. >90%,2024-12-27,Android,18.0,Есть,Средний,181-366 дней,Менее 5%,1.0,45-54,Более 80%,Ева МЛК,Нет,Жен,Нет,Прочее,45-54,Нет данных,5...10 Mbps,Прочее,CVM: Персональный 3.0,Кавказский филиал,TABLET,До 40 руб,5-24 часа
Более 80%,>99.5%,Большой,Персональные,a. <100 MB,2024-03-22,Прочее,15.0,Есть,Средний,31-90 дней,5...20%,0.019530727885283813,35-44,До 80%,Ева Volte,Нет,Жен,До 15 дней,Более 80%,35-44,Более 50 тыс. руб,<2 Mbps,Прочее,Включайся! - Линейка 3.2 - Часть II,Уральский филиал,ROUTER,До 40 руб,Нет простоя
Прочее,<98%,Малый,Агентский конвергент,d. >90%,2023-06-18,Android,15.0,Есть,Низкий,31-90 дней,Менее 5%,0.05880195220005908,55+,До 80%,Ева МЛК,До 100MB,Не определен,Более 15 дней,Менее 80%,55+,До 10 тыс. руб.,Прочее,98...99.5%,Нет,Дальневосточный филиал,LAPTOP,Нет переплат,5-24 часа
Менее 20%,>99.5%,Большой,Прочие,c. 80-90%,2023-11-17,Прочее,12.0,Есть,Средний,Более 366 дней,5...20%,-0.0,45-54,Более 80%,Ева МЛК,Более 1GB,Муж,Более 15 дней,Прочее,45-54,Более 50 тыс. руб,>10 Mbps,>99.5%,Тёплый приём - линейка 7.2,Столичный филиал,ROUTER,Нет переплат,Нет простоя
Менее 20%,<98%,Малый,ПД,a. <100 MB,2024-08-19,Android,9.0,Нет,Низкий,Более 366 дней,Менее 5%,-0.5693820918526771,25-34,Более 80%,Ева+,Более 1GB,Жен,Более 15 дней,Прочее,45-54,10-25 тыс. руб.,<2 Mbps,98...99.5%,Тарифные планы FMC - Объединяй 5.0,Дальневосточный филиал,TABLET,До 40 руб,Риск простоя
Более 80%,Прочее,Малый,ПД,b. <80%,2024-09-01,Android,19.0,Есть,Низкий,31-90 дней,Прочее,-0.02968393464001601,25-34,Не VoLTE,Ева МЛК,До 100MB,Не определен,Нет,Менее 80%,35-44,До 10 тыс. руб.,5...10 Mbps,<98%,Твой интернет - линейка 2019,Северо-Западный филиал,PHONE,Нет переплат,1-5 часов
20...80%,<98%,Большой,ПД,a. <100 MB,2024-01-31,Android,12.0,Нет,Низкий,До 30 дней,5...20%,-0.03327787690709192,18-24,Не VoLTE,Ева+,Более 1GB,Не определен,Нет,Менее 80%,25-34,10-25 тыс. руб.,Прочее,Прочее,Тёплый приём - линейка 6.0,Северо-Западный филиал,SMARTPHONE,До 40 руб,Нет простоя
20...80%,<98%,Малый,Все включено,b. <80%,2023-11-23,iOS,5.0,Нет,Низкий,Более 366 дней,Менее 5%,-0.07420636113110492,25-34,Не VoLTE,Ева Volte,До 100MB,Муж,До 15 дней,Более 80%,35-44,До 10 тыс. руб.,<2 Mbps,98...99.5%,Тёплый приём - линейка 5.1,Сибирский филиал,ROUTER,До 40 руб,Более 24 часов
Прочее,98..99.5%,Средний,СНГ,b. <80%,2023-05-13,Android,10.0,Нет,Средний,31-90 дней,Прочее,-1.0,18-24,Более 80%,Ева Volte,Более 1GB,Муж,Нет,Прочее,55+,До 10 тыс. руб.,>10 Mbps,>99.5%,Линейка 'Безлимит 1.0',Сибирский филиал,SMARTPHONE,Нет переплат,Более 24 часов
Прочее,>99.5%,Малый,Персональные,a. <100 MB,2024-09-14,Прочее,7.0,Есть,Средний,91-180 дней,5...20%,-0.0170890824448844,25-34,Не VoLTE,Ева+,Нет,Не определен,Нет,Менее 80%,18-24,25-50 тыс. руб.,<2 Mbps,>99.5%,Тарифные планы FMC - Объединяй 5.0,Уральский филиал,TABLET,Нет переплат,5-24 часа
